name,address,category
Бархат cafe & lounge,"Цирк, Кабанбай батыр проспект, 5, Астана",Рестораны
Timeless,"Улица Акмешит, 1 блок 4, Астана",Рестораны
Okadzaki.kz,"Проспект Абая, 59, Астана",Рестораны
Шашлыкоff,"Керей, Жанибек хандар улица, 12Б, Астана",Рестораны
SF,"Улица Туркестан, 10, Астана",Рестораны
Bloom Room Cafe,"Проспект Туран, 52, Астана",Рестораны
The Moon,"Улица Акмешит, 1 блок 6, Астана",Рестораны
Brewery,"Проспект Туран, 30, Астана",Рестораны
TomYumBar,"Проспект Туран, 20, Астана",Рестораны
Daididau,"Улица Динмухамед Конаев, 14, Астана",Рестораны
Arnau,"Проспект Туран, 30, Астана",Рестораны
MeATADOR,"Проспект Туран, 60, Астана",Рестораны
Вечное Небо,"Улица Александр Бараев, 23, Астана",Рестораны
Turandot,"Улица Туркестан, 34, Астана",Рестораны
Line Brew,"Улица Кенесары, 20, Астана",Рестораны
Dark Side,"Проспект Мангилик Ел, 52а, Астана",Рестораны
Line Brew Reserve,"Улица Кадыргали Жалайыри, 4, Астана",Рестораны
Рыба Пила,"Проспект Туран, 22, Астана",Рестораны
Восточный двор,"Улица Республики, 1Б, Косшы, Косшы городская администрация, Акмолинская область",Рестораны
